round,loss,acc,f1,auc
1,0.7442260682582855,nan,nan,nan
2,0.7163729146122932,nan,nan,nan
3,0.6526112072169781,nan,nan,nan
4,0.589587701484561,nan,nan,nan
5,0.5512246992439032,nan,nan,nan
6,0.5364093389362097,nan,nan,nan
7,0.5507662417367101,nan,nan,nan
8,0.577695740852505,nan,nan,nan
9,0.6195827540941536,nan,nan,nan
10,0.6674086300190538,nan,nan,nan
